id;id_produto;n_serie;nm_fornecedor
357375;999959;9789555;INDICA CAMPO GRANDE 29/12 GET 1641275
357376;999959;9870207;INDICA CAMPO GRANDE 29/12 GET 1641275
357377;999959;9535583;INDICA CAMPO GRANDE 29/12 GET 1641275
357378;999959;11103519;INDICA CAMPO GRANDE 29/12 GET 1641275
357379;999959;10409232;INDICA CAMPO GRANDE 29/12 GET 1641275
357380;999959;10675222;INDICA CAMPO GRANDE 29/12 GET 1641275
357381;999959;10615194;INDICA CAMPO GRANDE 29/12 GET 1641275
357382;999959;9449144;INDICA CAMPO GRANDE 29/12 GET 1641275
357383;999959;7209822-8;INDICA CAMPO GRANDE 29/12 GET 1641275
357384;999959;11049656;INDICA CAMPO GRANDE 29/12 GET 1641275
357385;999959;7259003-3;INDICA CAMPO GRANDE 29/12 GET 1641275
357386;999959;9100923;INDICA CAMPO GRANDE 29/12 GET 1641275
357387;999959;6629805-2;INDICA CAMPO GRANDE 29/12 GET 1641275
357388;999959;6620425;INDICA CAMPO GRANDE 29/12 GET 1641275
357389;999959;10329962;INDICA CAMPO GRANDE 29/12 GET 1641275
357390;999959;6545153;INDICA CAMPO GRANDE 29/12 GET 1641275
357391;999959;10479349;INDICA CAMPO GRANDE 29/12 GET 1641275
357392;999959;8303704;INDICA CAMPO GRANDE 29/12 GET 1641275
357393;999959;9565722;INDICA CAMPO GRANDE 29/12 GET 1641275
357394;999959;6657357;INDICA CAMPO GRANDE 29/12 GET 1641275
357395;999959;9141933;INDICA CAMPO GRANDE 29/12 GET 1641275
357396;999959;10227822;INDICA CAMPO GRANDE 29/12 GET 1641275
357397;999959;10740773;INDICA CAMPO GRANDE 29/12 GET 1641275
357398;999959;6535640;INDICA CAMPO GRANDE 29/12 GET 1641275
357399;999959;10874485;INDICA CAMPO GRANDE 29/12 GET 1641275
357400;999959;10316684;INDICA CAMPO GRANDE 29/12 GET 1641275
357401;999959;10304150;INDICA CAMPO GRANDE 29/12 GET 1641275
357402;999959;9411920;INDICA CAMPO GRANDE 29/12 GET 1641275
357403;999959;9514058;INDICA CAMPO GRANDE 29/12 GET 1641275
357404;999959;10748777;INDICA CAMPO GRANDE 29/12 GET 1641275
357405;999959;10610730;INDICA CAMPO GRANDE 29/12 GET 1641275
357406;999959;10783547;INDICA CAMPO GRANDE 29/12 GET 1641275
357407;999959;10040737;INDICA CAMPO GRANDE 29/12 GET 1641275
357408;999959;10427982;INDICA CAMPO GRANDE 29/12 GET 1641275
357409;999959;10659274;INDICA CAMPO GRANDE 29/12 GET 1641275
357410;999959;10008725;INDICA CAMPO GRANDE 29/12 GET 1641275
357411;999959;10922865;INDICA CAMPO GRANDE 29/12 GET 1641275
357412;999959;10845121;INDICA CAMPO GRANDE 29/12 GET 1641275
357413;999959;10007720;INDICA CAMPO GRANDE 29/12 GET 1641275
357414;999959;10859083;INDICA CAMPO GRANDE 29/12 GET 1641275
357415;999959;6797312;INDICA CAMPO GRANDE 29/12 GET 1641275
357416;999959;90745850;INDICA CAMPO GRANDE 29/12 GET 1641275
357417;999959;9919525;INDICA CAMPO GRANDE 29/12 GET 1641275
357418;999959;9968594;INDICA CAMPO GRANDE 29/12 GET 1641275
357419;999959;10220338;INDICA CAMPO GRANDE 29/12 GET 1641275
357420;999959;10754765;INDICA CAMPO GRANDE 29/12 GET 1641275
357421;999959;10751873;INDICA CAMPO GRANDE 29/12 GET 1641275
357422;999959;10224770;INDICA CAMPO GRANDE 29/12 GET 1641275
357423;999959;8170028-8;INDICA CAMPO GRANDE 29/12 GET 1641275
357424;999959;6947798;INDICA CAMPO GRANDE 29/12 GET 1641275
357425;999959;10560552;INDICA CAMPO GRANDE 29/12 GET 1641275
357426;999959;9974372;INDICA CAMPO GRANDE 29/12 GET 1641275
357427;999959;10847801;INDICA CAMPO GRANDE 29/12 GET 1641275
357428;999959;10341469;INDICA CAMPO GRANDE 29/12 GET 1641275
357429;999959;9272713;INDICA CAMPO GRANDE 29/12 GET 1641275
357430;999959;9566663;INDICA CAMPO GRANDE 29/12 GET 1641275
357431;999959;7696823;INDICA CAMPO GRANDE 29/12 GET 1641275
357432;999959;11113087;INDICA CAMPO GRANDE 29/12 GET 1641275
357433;999959;10252660;INDICA CAMPO GRANDE 29/12 GET 1641275
357434;999959;9459286;INDICA CAMPO GRANDE 29/12 GET 1641275
357435;999959;10751619;INDICA CAMPO GRANDE 29/12 GET 1641275
357436;999959;9676300;INDICA CAMPO GRANDE 29/12 GET 1641275
357437;999959;9097371;INDICA CAMPO GRANDE 29/12 GET 1641275
357438;999959;8167380;INDICA CAMPO GRANDE 29/12 GET 1641275
357439;999959;7148676;INDICA CAMPO GRANDE 29/12 GET 1641275
357440;999959;9566694;INDICA CAMPO GRANDE 29/12 GET 1641275
357441;999959;8466743;INDICA CAMPO GRANDE 29/12 GET 1641275
357442;999959;6622543;INDICA CAMPO GRANDE 29/12 GET 1641275
357443;999959;9363913;INDICA CAMPO GRANDE 29/12 GET 1641275
357444;999959;8940231;INDICA CAMPO GRANDE 29/12 GET 1641275
