POSIÇÃO 	 CÓDIGO 	KVA	LP	SERIAL	FABRICANTE	ANO DE FABRICAÇÃO 	ENRROLAMENTO	INSPEÇÃO 
A-88-1	397977	112,5	162489	1125002	ROMAGNOLE	fev/18		REP-MAI-22
A-9-1	397001	150	165945	1171601	ROMAGNOLE	mar/19	ALUMINIO	TRIF
B-10-1	397974	112,5	168578	1217409	ROMAGNOLE	jan/20	ALUMINIO	TRIF
B-10-2	397974	112,5	135585	837758	ROMAGNOLE	out/12		
B-1-1	397974	112,5	158981	1063147	ITB	fev/17	ALUMINIO	TRIF
B-11-1	397977	112,5AP	163769	1136069	ROMAGNOLE 	abr/18	ALUMINIO	REPARADO
B-11-1	397001	150	171108	1323457	ITB	out/20	ALUMINIO	
B-11-2	397973	75	175581	1320228	ROMAGNOLE	jan/21	ALUMINIO	REP-ABR-24
B-1-2	397973	75	160122	1090548	ROMAGNOLE	mai/17	ALUMINIO	TRIF
B-12-1	397973	75	174733	1381939	ITB	set/21		
B-12-2	397976	75AP	175638	1320294	ROMAGNOLE	ago/21	ALUMINIO	
B-12-3	397972	45	162331	1124802	ROMAGNOLE	jan/18		
B-1-3	397972	45	177205	1352924	ROMAGNOLE	mar/22	ALUMINIO	TRIF
B-13-1	397974	112,5	143321	877481	ITB	fev/14		
B-13-3	397972	45	177117	1353077	ROMAGNOLE	jun/05		
B-14-1	397134	300	176988	1065969962	WEG	mar/22	ALUMINIO	TRIF
B-14-1	397974	112,5	179067	1477902	ITB	out/22	ALUMINIO	RET-SEM-REP
B-14-2	397972	45	175206	1380865	ITB	ago/21		
B-14-3	397972	45	179799	1401420	ROMAGNOLE	nov/22		
B-15-1	397974	112,5	163667	1136329	ROMAGNOLE	abr/16		REP-NOV-21
B-15-1	397974	112,5	172693	1279427	ROMAGNOLE	fev/21	ALUMINIO	
B-15-2	397972	45	175255	1380914	ITB	ago/21	ALUMINIO	TRIF
B-15-3	397972	45	177145	1352864	ROMAGNOLE	mar/22		
B-16-1	397033	225	160679	1096077	ITB	jul/17	ALUMINIO	REPARADO
B-16-1	397977	112,5AP	171123	1324157	ITB	out/20	ALUMINIO	
B-16-2	397974	112,5	170286	1245264	ROMAGNOLE	jul/20	ALUMINIO	TRIF
B-16-3	397973	75	172420	1276251	ROMAGNOLE	dez/20		
B-16-3	397972	45	179904	1401525	ROMAGNOLE	set/22		
B-17-1	397001	150	140961	879960	ROMAGNOLE	set/13		
B-17-2	397972	45	171795	1331666	ITB	dez/20	ALUMINIO	
B-17-3	397973	75	169295	1225645	ROMAGNOLE	mar/20	ALUMINIO	TRIF
B-18-1	397974	112,5	181552	1552876	ITB	ago/23	ALUMINIO	
B-18-2	397974	112,5	166111	1174866	ROMAGNOLE	mar/19	ALUMINIO	
B-19-1	397974	112,5	147893	923020	ITB	nov/14	ALUMINIO	REP-JAN-24
B-19-1	397145	112,5	172380	1276330	ROMAGNOLE	jan/21	ALUMINIO	
B-19-2	397974	112,5	169637	1229004	ROMAGNOLE	mai/20	ALUMINIO	
B-19-3	397142	30	144990	929137	ROMAGNOLE	mar/14		
B-20-1	397001	150	171165	1327407	ITB	nov/20	ALUMINIO	
B-20-1	397977	112,5AP	181969	980829	ITB	jan/24	ALUMINIO	TRIF/AP
B-20-2	397976	75AP	169845	1235387	ROMAGNOLE	jun/20	ALUMINIO	
B-20-3	397973	75	162349	1224865	ROMAGNOLE	fev/18	ALUMINIO	
B-2-1	397001	150	159847	1085203	ROMAGNOLE	mar/17		REP-OUT-22
B-21-1	397974	112,5	180738	1486154	ITB	nov/22		
B-21-2	397973	75	166849	1180476	ROMAGNOLE	mar/19		
B-21-3	397973	75	166804	1180306	ROMAGNOLE	abr/19		
B-2-2	397976	75AP	166922	1180544	ROMAGNOLE	abr/19	ALUMINIO	
B-22-1	397974	112,5	180906	1486028	ITB	nov/22		
B-22-2	397974	112,5	181935	1580592	ITB	jan/24		
B-22-3	397973	75AP	169319	1225739	ROMAGNOLE	mar/20	ALUMINIO	TRIF/AP
B-2-3	334975	45AP	164405	1139543	ROMAGNOLE	jul/18	ALUMINIO	TRIF/AP
B-23-1	397976	75	172503	1276294	ROMAGNOLE	dez/20		
B-23-2	397974	112,5	170206	1245034	ROMAGNOLE	jul/20		
B-23-2	397972	45	176144	1418835	ITB	fev/22	ALUMINIO	
B-23-3	397973	75	178624	1385019	ROMAGNOLE	ago/22	ALUMINIO	TRIF
B-24-1	397977	112,5AP	166274	1175795	ROMAGNOLE	mar/19	ALUMINIO	TRIF/AP
B-24-2	397973	75	176667	1422985	ITB	mar/22		
B-25-1	397001	150	182070	1481097	ROMAGNOLE	nov/23		
B-25-2	397973	75	169322	1225742	ROMAGNOLE 	mar/20	ALUMINIO	REP-MAI-24
B-25-3	397976	75	170301	1245057	ROMAGNOLE	jul/20		
B-26-1	397974	112,5	171707	1331633	ITB	dez/20	ALUMINIO	TRIF
B-26-2	397973	75	183990	1599954	ITB	abr/24		
B-26-3	397972	45	179756	1401377	ROMAGNOLE	set/22		
B-27-1	397001	150	174127	1304912	ROMAGNOLE	jul/21	ALUMINIO	
B-27-2	397973	75	180214	1401795	ROMAGNOLE 	nov/22	ALUMINIO	REP-SET-24
B-27-3	397976	75	122542	783019	ROMAGNOLE	mar/11		
B-28-1	397974	112,5	181927	1180584	ITB	jan/24	ALUMINIO	
B-28-2	397974	112,5	156728	1034817	ROMAGNOLE	abr/16		FUEADO
B-29-1	397974	112,5	180553	1485932	ITB	nov/22	ALUMINIO	TRIF
B-29-2	397974	112,5	171950	1272106	ROMAGNOLE	dez/20	ALUMINIO	
B-30-1	397033	225	166691	1047798382	WEG	mai/19		
B-30-2	397974	112,5	175627	1320220	ROMAGNOLE 	set/21	ALUMINIO	RET. SEM REPARO
B-3-1	397973	75	182345	1481808	ROMAGNOLE	nov/23	ALUMINIO	TRIF
B-31-2	397977	112,5AP	157434	1038778	ROMAGNOLE	jun/16		
B-3-2	397973	75	178385	1385204	ROMAGNOLE	ago/22	ALUMINIO	TRIF
B-32-1	397974	112,5	180716	1486132	ITB	nov/22	ALUMINIO	
B-3-3	397972	45	176162	1418853	ITB	fev/22	ALUMINIO	TRIF
B-33-1	397001	150	182675	1506179	ROMAGNOLE	jan/24		
B-33-2	397974	112,5	162386	1124902	ROMAGNOLE	fev/18		
B-34-2	397973	75	176276	148967	ITB	fev/22	ALUMINIO	
B-35-2	397972	45	176180	1418871	ITB	fev/22		
B-35-2	397973	75	181639	1476191	ROMAGNOLE	set/23		
B-35-3	397976	75AP	172247	1342204	ITB	fev/21	ALUMINIO	
B-36-3	397973	75	162034	1121871	ROMAGNOLE	jan/18		
B-37-1	397001	150	169082	1220509	ROMAGNOLE	jan/20	ALUMINIO	
B-37-2	397977	112,5	169963	1240653	ROMAGNOLE	jun/20		
B-38-1	397024	112,5AP	169688	1229405	ROMAGNOLE	abr/20	ALUMINIO	
B-38-2	397973	75	178466	1384861	ROMAGNOLE	ago/22		
B-39-2	397971	30	168452	1217258	ROMAGNOLE	jan/20		
B-39-3	397976	75	165716	1159306	ROMAGNOLE	dez/18		
B-40-2	397977	112,5	173239	1283210	ROMAGNOLE	mar/21		
B-40-3	397976	75	132751	25751	ROMAGNOLE	mai/12		
B-4-1	397001	150	161438	1113262	ROMAGNOLE 	out/17	ALUMINIO	REP-JUL-24
B-41-1	397033	225	178045	178045	WEG	ago/22	ALUMINIO	
B-41-2	397976	75	183359	1584574	ITB	mar/24		
B-4-2	397976	75	132072	822771	ROMAGNOLE	abr/16		
B-42-1	397977	112,5AP	173913	1297885	ROMAGNOLE	mai/21		
B-42-2	397977	112,5	156403	1020238	ROMAGNOLE	mar/16		
B-4-3	397972	45	174900	1387376	ITB	set/21	ALUMINIO	TRIF
B-43-1	397974	112,5	179079	1477914	ITB	out/22	ALUMINIO	
B-43-2	397973	75	182334	1481797	ROMAGNOLE	nov/23	ALUMINIO	TRIF
B-44-2	397974	112,5	152723	1001984	ROMAGNOLE	jul/15		
B-45-1	397001	150	163826	1135986	ROMAGNOLE	fev/18	ALUMINIO	TRIF
B-45-2	397976	75	151846	986290	ROMAGNOLE	mai/15		
B-46-1	397974	112,5	173048	1350640	ITB	mar/21		
B-46-2	397973	75	181630	1476182	ROMAGNOLE	set/23		
B-47-1	397974	112,5	161676	1117609	ROMAGNOLE	jan/18	ALUMINIO	
B-47-2	397973	75	181621	1476173	ROMAGNOLE	set/23	ALUMINIO	TRIF
B-48-1	394024	112,5	151979	1002948	ROMAGNOLE	jan/16		
B-48-2	397973	75	183070	1530557	ROMAGNOLE	jan/24		
B-49-2	397974	112,5	180366	1478264	ITB	out/22		
B-50-1	397977	112,5AP	178926	1467575	ITB	set/22	ALUMINIO	
B-50-2	397976	75AP	175631	1320287	ROMAGNOLE	ago/21	ALUMINIO	
B-5-1	397033	225	160695	96093	ITB	jul/17		
B-51-1	397977	112,5AP	173912	1297884	ROMAGNOLE	mai/21		
B-51-2	397973	75	181080	1455879	ROMAGNOLE	abr/23	ALUMINIO	
B-5-2	397973	75	177231	1352956	ROMAGNOLE	mai/22	ALUMINIO	TRIF
B-52-1	397001	150	155940	1017728	ROMAGNOLE	abr/16	ALUMINIO	
B-52-2	397974	112,5	181831	1088709087	WEG	dez/23	ALUMINIO	
B-5-3	397972	45	179844	1401465	ROMAGNOLE	set/22	ALUMINIO	TRIF
B-53-1	394024	112,5	155651	1015592	ROMAGNOLE	jan/16		
B-54-1	397974	112,5	159724	1084959	ROMAGNOLE	mai/17	ALUMINIO	
B-54-2	397972	45	179981	1401634	ROMAGNOLE	set/22		
B-55-1	397974	112,5	163774	1136074	ROMAGNOLE	fev/16		
B-55-2	397973	75	175070	1316762	ROMAGNOLE	ago/21	ALUMINIO	REP-AGO-21
B-56-1	397974	112,5	159685	1084646	ROMAGNOLE	mai/17		
B-56-1	397001	150	180644	1486069	ITB	nov/22	ALUMINIO	
B-56-2	397977	112,5AP	155673	1015614	ROMAGNOLE	jan/16	ALUMINIO	REP-MAR-22
B-57-1	397001	150	182682	1506186	ROMAGNOLE	jan/24	ALUMINIO	
B-57-2	397973	75	182565	1573795	ITB	dez/23		
B-58-1	397001	150	182505	1580145	ITB	jan/24		
B-58-2	397973	75	175597	1320244	ROMAGNOLE	ago/21		
B-59-1	397974	112,5	171378	12665893	ROMAGNOLE	out/20	ALUMINIO	TRIF
B-60-1	397977	112,5AP	183838	1537803	ROMAGNOLE	mai/24	ALUMINIO	
B-60-2	397977	112,5	184814	1619114	ITB	jun/24		
B-6-1	397974	112,5	151567	949857	ITB	fev/15	ALUMINIO	
B-61-1	397033	225	177698	1068582862	WEG	jun/22	ALUMINIO	TRIF
B-61-2	397974	112,5	173898	1303807	ROMAGNOLE 	jun/21	ALUMINIO	REP-FEV-24
B-6-2	397974	112,5	111138	711080	ROMAGNOLE	jul/09		
B-62-1	397001	150	182713	1506217	ROMAGNOLE	jan/24		
B-62-2	397973	75	184342	1605804	ITB	jun/24		
B-6-3	397972	45	179784	1401405	ROMAGNOLE	set/22		
B-63-1	397974	112,5	158211	1057570	ROMAGNOLE	set/16	ALUMINIO	
B-63-2	397976	75	166926	1180588	ROMAGNOLE	abr/19		REP-NOV-22
B-64-1	397001	150	162677	1124918	ROMAGNOLE	fev/18		REP-DEZ-21
B-64-2	397974	112,5	151110	981712	ROMAGNOLE	mar/15		
B-65-1	397001	150	182710	1506214	ROMAGNOLE	jan/24		
B-65-2	397977	112,5	184675	1614211	ITB	jun/24		
B-66-1	397001	150	181423	1471884	ROMAGNOLE	ago/23		
B-67-1	397001	150	182692	1506192	ROMAGNOLE	jan/24	ALUMINIO	
B-69-1	397001	150	162665	1126657	ROMAGNOLE	fev/18	ALUMINIO	REP-FEV-18
B-70-1	397977	112,5	156802	1034631	ROMAGNOLE	jun/16		
B-7-1	397001	150	182058	1481085	ROMAGNOLE	nov/23		
B-71-1	397977	112,5	170336	1254663	ROMAGNOLR	ago/20		
B-71-2	397147	50	172546	1276348	ROMAGNOLE	jan/21		
B-7-2	397973	75	174589	1313293	ROMAGNOLE	mar/21	ALUMINIO	TRIF
B-72-1	397977	112,5	183848	1537813	ROMAGNOLE	mai/24		
B-72-2	397146	25	142542	915882	ROMAGNOLE	out/12		
B-7-3	397022	45AP	171575	1269826	ROMAGNOLE	dez/20	ALUMINIO	
B-73-1	397976	75	151144	982708	ROMAGNOLE	mar/15		REP-DEZ-22
B-73-2	397971	30	181673	1476225	ROMAGNOLE	ago/23		FURADO
B-74-1	397974	112,5	154139	978021	ITB	nov/15	ALUMINIO	REPARADO
B-74-2	397973	75	157360	1088824	ROMAGNOLE	jun/16		REP-DEZ-21
B-75-1	397033	225	179208	1074430040	WEG	out/22		
B-75-2	397023	75	154927	1003204	ROMAGNOLE	jun/15		
B-76-1	397033	225	157825	1048537	ROMAGNOLE 	jul/16	ALUMINIO	RET-SEM-REP
B-76-2	397974	112,5	173514	1284702	ROMAGNOLE	ABE21		
B-77-2	397973	75	182357	1481820	ROMAGNOLE	nov/23		
B-78-1	397033	225	165577	1046582210	WEG	jan/19	ALUMINIO	RET-SEM-REP-AP
B-78-2	397976	75	160202	1088753	ROMAGNOLE	mai/17		
B-79-1	397033	225	169997	1053859595	WEG	jun/20	ALUMINIO	TRIF
B-79-2	397973	75	181628	1476180	ROMAGNOLE	ago/23		
B-80-1	397001	150	180834	1486200	ITB	dez/22	ALUMINIO	
B-80-2	397974	112.5	164406					
B-8-1	397145	112,5	166306	1177022	ROMAGNOLE	abr/19	ALUMINIO	TRIF
B-81-1	397033	225	184312	1604267	ITB	mai/24		
B-81-2	397976	75	183350	158965	ITB	mar/25		
B-8-2	397973	75	178333	1385152	ROMAGNOLE	ago/22	ALUMINIO	TRIF
B-82-1	397974	112,5	181776	14763228	ROMAGNOLE	set/23		
B-82-2	397973	75	180249	1401830	ROMAGNOLE 	nov/22	ALUMINIO	REPARADO
