Material	Texto breve material	Quantidade	Doc.material	Item doc.material	Tipo de movimento	Centro	Dep¢sito	Data do documento	Data de lanáamento	Unid.medida b†sica	Montante em MI	Texto cabeáalho documento	Pedido	UM pedido	Diagrama de rede
10000717	PARAF FRANCES M G 16MM 45MM AC	-50	4926839651	13	351	1300	1310	20/09/2022	20/09/2022	PEÄ	-151,49	0070	4200439144	PEÄ	
10000717	PARAF FRANCES M G 16MM 45MM AC	-20	4926839651	15	351	1300	1310	20/09/2022	20/09/2022	PEÄ	-60,59	0070	4200440229	PEÄ	
10000717	PARAF FRANCES M G 16MM 45MM AC	-350	4926839651	17	351	1300	1310	20/09/2022	20/09/2022	PEÄ	-1.060,40	0070	4200440229	PEÄ	
10000717	PARAF FRANCES M G 16MM 45MM AC	-20	4926839651	19	351	1300	1310	20/09/2022	20/09/2022	PEÄ	-60,59	0070	4200440814	PEÄ	
10000717	PARAF FRANCES M G 16MM 45MM AC	-70	4926840380	11	351	1300	1310	20/09/2022	20/09/2022	PEÄ	-212,08	0138	4200438105	PEÄ	
10000717	PARAF FRANCES M G 16MM 45MM AC	-526	4926840142	5	351	1300	1310	20/09/2022	20/09/2022	PEÄ	-1.593,62	0060	4200439137	PEÄ	
10000717	PARAF FRANCES M G 16MM 45MM AC	-302	4926840142	3	351	1300	1310	20/09/2022	20/09/2022	PEÄ	-914,97	0060	4200439137	PEÄ	
10000717	PARAF FRANCES M G 16MM 45MM AC	-307	4926840142	1	351	1300	1310	20/09/2022	20/09/2022	PEÄ	-930,12	0060	4200438509	PEÄ	
10000717	PARAF FRANCES M G 16MM 45MM AC	-50	4926839651	5	351	1300	1310	20/09/2022	20/09/2022	PEÄ	-151,49	0070	4200438923	PEÄ	
10000717	PARAF FRANCES M G 16MM 45MM AC	-30	4926839651	7	351	1300	1310	20/09/2022	20/09/2022	PEÄ	-90,89	0070	4200438923	PEÄ	
10000717	PARAF FRANCES M G 16MM 45MM AC	-10	4926840523	17	351	1300	1310	20/09/2022	20/09/2022	PEÄ	-30,30	0216	4200440817	PEÄ	
10000717	PARAF FRANCES M G 16MM 45MM AC	-90	4926840523	15	351	1300	1310	20/09/2022	20/09/2022	PEÄ	-272,67	0216	4200440475	PEÄ	
10000717	PARAF FRANCES M G 16MM 45MM AC	-50	4926840523	13	351	1300	1310	20/09/2022	20/09/2022	PEÄ	-151,49	0216	4200439835	PEÄ	
10000717	PARAF FRANCES M G 16MM 45MM AC	-120	4926840523	11	351	1300	1310	20/09/2022	20/09/2022	PEÄ	-363,56	0216	4200439147	PEÄ	
10000717	PARAF FRANCES M G 16MM 45MM AC	-400	4926840523	9	351	1300	1310	20/09/2022	20/09/2022	PEÄ	-1.211,88	0216	4200439147	PEÄ	
10000717	PARAF FRANCES M G 16MM 45MM AC	-110	4926840523	7	351	1300	1310	20/09/2022	20/09/2022	PEÄ	-333,27	0216	4200438828	PEÄ	
10000717	PARAF FRANCES M G 16MM 45MM AC	-10	4926840523	5	351	1300	1310	20/09/2022	20/09/2022	PEÄ	-30,30	0216	4200438511	PEÄ	
10000718	PARAF FRANCES M G 16MM 70MM AC	-30	4926840523	19	351	1300	1310	20/09/2022	20/09/2022	PEÄ	-99,21	0216	4200439147	PEÄ	
10000718	PARAF FRANCES M G 16MM 70MM AC	-10	4926840142	7	351	1300	1310	20/09/2022	20/09/2022	PEÄ	-33,07	0060	4200440137	PEÄ	
10000718	PARAF FRANCES M G 16MM 70MM AC	-30	4926840142	9	351	1300	1310	20/09/2022	20/09/2022	PEÄ	-99,21	0060	4200440137	PEÄ	
10000718	PARAF FRANCES M G 16MM 70MM AC	-10	4926840142	11	351	1300	1310	20/09/2022	20/09/2022	PEÄ	-33,07	0060	4200440471	PEÄ	
10000718	PARAF FRANCES M G 16MM 70MM AC	-50	4926839651	21	351	1300	1310	20/09/2022	20/09/2022	PEÄ	-165,35	0070	4200440229	PEÄ	
10000718	PARAF FRANCES M G 16MM 70MM AC	-20	4926839651	23	351	1300	1310	20/09/2022	20/09/2022	PEÄ	-66,14	0070	4200440814	PEÄ	
10000718	PARAF FRANCES M G 16MM 70MM AC	-30	4926839651	25	351	1300	1310	20/09/2022	20/09/2022	PEÄ	-99,21	0070	4200441146	PEÄ	
10000719	PARAF FRANCES M G 16MM 150MM AC	-40	4926840523	21	351	1300	1310	20/09/2022	20/09/2022	PEÄ	-216,05	0216	4200439147	PEÄ	
10000719	PARAF FRANCES M G 16MM 150MM AC	-30	4926840380	9	351	1300	1310	20/09/2022	20/09/2022	PEÄ	-162,04	0138	4200441147	PEÄ	
10000719	PARAF FRANCES M G 16MM 150MM AC	-30	4926840380	7	351	1300	1310	20/09/2022	20/09/2022	PEÄ	-162,04	0138	4200440138	PEÄ	
10000723	PARAFUSO CAB QUAD 16MM 50MM AC	-10	4926839651	27	351	1300	1310	20/09/2022	20/09/2022	PEÄ	-27,73	0070	4200440229	PEÄ	
10000723	PARAFUSO CAB QUAD 16MM 50MM AC	-10	4926839651	29	351	1300	1310	20/09/2022	20/09/2022	PEÄ	-27,74	0070	4200440229	PEÄ	
10000723	PARAFUSO CAB QUAD 16MM 50MM AC	-80	4926839651	31	351	1300	1310	20/09/2022	20/09/2022	PEÄ	-221,88	0070	4200440229	PEÄ	
