LOTE	KVA	LP	SERIAL	FABRICANTE	DATA	ENROLAMENTO	ÓLEO
397972	45	160728	1102122	RHEDE	01/06/2017	ALUMÍNIO 	
397143	45	163488	1136388	ROMAGNOLE 	01/04/2018	ALUMÍNIO 	
397144	75	165605	1160789	ROMAGNOLE	01/12/2018	ALUMÍNIO 	
397023	75 AP	166282	11476161	ROMAGNOLE	01/04/2019	ALUMÍNIO 	
397145	112,5	166304	1177020	ROMAGNOLE	01/04/2019	ALUMÍNIO 	
397972	45	166367	1175882	ROMAGNOLE	01/03/2019	ALUMÍNIO 	
397147	50	166752	1180273	ROMAGNOLE	01/05/2019	ALUMÍNIO 	
397147	50	167414	1164662	ROMAGNOLE	01/05/2019	ALUMÍNIO 	
397023	75AP	167606	1182782	ROMAGNOLE	01/05/2019	ALUMÍNIO 	
397972	45	168070	1201341	ROMAGNOLE 	01/10/2019	ALUMÍNIO 	
397146	25AP	168835	1220335	ROMAGNOLE	01/02/2020	ALUMÍNIO 	
397023	75	170943	1262926	ROMAGNOLE	01/09/2020	ALUMÍNIO 	
397972	45	171263	1327386	ITB	01/11/2020	ALUMÍNIO 	
397024	112,5	172984	1280414	ROMAGNOLE	01/02/2021	ALUMÍNIO 	
397972	45	175228	1380887	ITB	01/08/2021	ALUMÍNIO 	
397972	45	175369	1381838	ITB	01/09/2021	ALUMÍNIO 	
397143	45	175396	1381863	ITB	01/09/2021	ALUMÍNIO 	
397972	45	175481	1387514	ITB	01/09/2021	ALUMÍNIO 	
397969	100	26299	42988	COEMSA	27/05/1905	COBRE	
397969	100	26327	43014	COEMSA	01/01/1974	COBRE	
397972	45	31912	192581	UNIÃO	01/05/2005	COBRE	
397973	75	44247	111285-N	Nativa	01/03/1985	COBRE	
397978	5	53484	215821	TOSHIBA	01/01/1995	COBRE	
397973	75	65160	KA12094030A	TRAFO	01/10/1994	COBRE	
397976	75AP	65765	KA1385A013H	TRAFO	01/11/1995	COBRE	
397968	75	66647	KA1416A098H	TRAFO	01/11/1995	COBRE	
397976	75AP	75471	119990	MEGA	01/02/1998	COBRE	
397976	75	75695	120214	MEGA	01/03/1998	COBRE	
397976	75AP	75809	120128	MEGA	01/03/1998	COBRE	
397976	75AP	79822	123692	MEGA	01/10/1998	COBRE	
397976	75	81118	133227	MEGA	01/10/1998	COBRE	
397977	112,5AP	82623	134732	MEGA	01/12/1998	COBRE	
397976	75AP	83006	135356	MEGA	01/10/1998	COBRE	
397976	75AP	83246	KA2064A039A	TRAFO	01/01/1999	COBRE	
397973	75	83814	KA2065A207A	ELETRO TRAFO	01/06/2005	COBRE	
397974	112,5	114864	735913	ROMAGNOLE	01/02/2010	ALUMÍNIO 	
397974	112,5	117138	750400	ROMAGNOLE	01/05/2010	ALUMÍNIO 	
397973	75	123047	784791	ROMAGNOLE	01/02/2010	ALUMÍNIO 	
397976	75AP	123117	784089	ROMAGNOLE	01/05/2011	ALUMÍNIO 	
334975	45AP	124653	8522210	ROMAGNOLE	01/07/2011	ALUMÍNIO 	
397023	75	131270	768486	ITB	01/02/2023	ALUMÍNIO 	
397973	75	133944	818777	ROMAGNOLE 	01/01/2012	ALUMÍNIO 	
397973	75	133970	832705	ROMAGNOLE 	01/08/2012	ALUMÍNIO 	
397974	112,5	142694	912557	ROMAGNOLE 	01/12/2013	ALUMÍNIO 	
397977	112,5AP	151159	856342	ROMAGNOLE 	01/01/2013	ALUMÍNIO	
397974	112,5	173547	1310344	ROMAGNOLE	01/04/2021	ALUMÍNIO 	
397980	10		536013	UNIÃO	01/01/1980	COBRE	
397969	100		E55356	ITEL	01/12/1989	COBRE	
397973	75		9110781	TUSA	01/12/1990	COBRE	
397973	75		8925479	TUSA	01/10/1989	COBRE	
397980	10		A923138	ITEL	18/06/1905	COBRE	
397980	10		A923195	ITEL	1-jun	COBRE	
