Material	Texto breve material	Quantidade	Montante em MI	Doc.material	Item doc.material	Centro	Depósito	Tipo de movimento	Data de lançamento	Pedido	Qtd.  UM registro	Item	Data de entrada	Data do documento	Txt.tipo movimento	Nº reserva	Diagrama de rede
999958	SUCATA MEDIDOR ENERGIA ELÉTRICA FERRO	628,500	0,00	500093957	1	11	015	101	30/11/2022	4500512453	628,500	50	30/11/2022	30/11/2022	EM estoque trânsito	0	
999958	SUCATA MEDIDOR ENERGIA ELÉTRICA FERRO	-10.540	-37,76	491476978	1	11	015	905	29/11/2022		-10.540	0	29/11/2022	29/11/2022	SM para Alienação	0	
999958	SUCATA MEDIDOR ENERGIA ELÉTRICA FERRO	2.388,900	0,00	500093922	2	11	015	101	29/11/2022	4500496971	2.388,900	3	29/11/2022	29/11/2022	EM estoque trânsito	0	
999958	SUCATA MEDIDOR ENERGIA ELÉTRICA FERRO	954	0,00	500093917	1	11	015	101	29/11/2022	4500512453	954	34	29/11/2022	29/11/2022	EM estoque trânsito	0	
999958	SUCATA MEDIDOR ENERGIA ELÉTRICA FERRO	33,500	0,00	500093918	1	11	015	101	29/11/2022	4500514081	33,500	1	29/11/2022	29/11/2022	EM estoque trânsito	0	
999958	SUCATA MEDIDOR ENERGIA ELÉTRICA FERRO	656	0,00	500093848	2	11	015	101	28/11/2022	4500497397	656	14	28/11/2022	28/11/2022	EM estoque trânsito	0	
999958	SUCATA MEDIDOR ENERGIA ELÉTRICA FERRO	106,500	0,00	500093775	1	11	015	101	25/11/2022	4500505989	106,500	1	25/11/2022	25/11/2022	EM estoque trânsito	0	
999958	SUCATA MEDIDOR ENERGIA ELÉTRICA FERRO	8.408,200	0,00	500093418	1	11	015	101	23/11/2022	4500514199	8.408,200	4	23/11/2022	23/11/2022	EM estoque trânsito	0	
999958	SUCATA MEDIDOR ENERGIA ELÉTRICA FERRO	43,500	0,00	500093629	2	11	015	101	23/11/2022	4500494589	43,500	3	23/11/2022	23/11/2022	EM estoque trânsito	0	
999958	SUCATA MEDIDOR ENERGIA ELÉTRICA FERRO	125,500	0,00	500093404	2	11	015	101	22/11/2022	4500496448	125,500	11	22/11/2022	22/11/2022	EM estoque trânsito	0	
999958	SUCATA MEDIDOR ENERGIA ELÉTRICA FERRO	844	0,00	500092827	1	11	015	101	21/11/2022	4500514081	844	1	21/11/2022	21/11/2022	EM estoque trânsito	0	
999958	SUCATA MEDIDOR ENERGIA ELÉTRICA FERRO	4.266,500	0,00	500092826	2	11	015	101	21/11/2022	4500479403	4.266,500	12	21/11/2022	21/11/2022	EM estoque trânsito	0	
999958	SUCATA MEDIDOR ENERGIA ELÉTRICA FERRO	2.199,500	0,00	500092487	1	11	015	101	18/11/2022	4500514012	2.199,500	1	18/11/2022	18/11/2022	EM estoque trânsito	0	
999958	SUCATA MEDIDOR ENERGIA ELÉTRICA FERRO	4.505,500	0,00	500092485	1	11	015	101	18/11/2022	4500505989	4.505,500	1	18/11/2022	18/11/2022	EM estoque trânsito	0	
999958	SUCATA MEDIDOR ENERGIA ELÉTRICA FERRO	2,600	0,00	500092404	1	11	015	101	17/11/2022	4500496971	2,600	3	17/11/2022	17/11/2022	EM estoque trânsito	0	
999958	SUCATA MEDIDOR ENERGIA ELÉTRICA FERRO	1.953	0,00	500092305	1	11	015	101	17/11/2022	4500513568	1.953	1	17/11/2022	17/11/2022	EM estoque trânsito	0	
999958	SUCATA MEDIDOR ENERGIA ELÉTRICA FERRO	-9.110	-33,81	491451748	1	11	015	905	17/11/2022		-9.110	0	17/11/2022	17/11/2022	SM para Alienação	0	
