DATA	Preço
8716	0,00
8717	0,00
8718	0,00
8719	43,00
8720	57,00
8721	69,00
8722	0,00
8723	0,00
8724	66,00
8725	70,50
8726	0,00
8727	0,00
8728	0,00
8729	29,90
8730	153,90
8731	134,90
8732	0,00
8733	134,90
8734	3,93
8735	0,00
8736	5,83
8737	2,80
8738	10,50
8739	7,90
8740	11,20
8741	2,80
8742	4,90
8743	10,10
8744	3,50
8745	4,90
8746	2,20
8747	0,00
8748	22,90
8749	38,80
8750	0,00
8751	0,00
8752	70,73
8753	2500,00
8754	1000,00
8755	5,34
8756	134,75
8757	515,00
8758	25,00
8759	729,00
8760	43,00
8761	8,00
8762	2,50
8763	148,00
8764	138,00
8765	0,00
8766	0,00
8767	0,00
8768	0,00
8769	0,00
8770	0,00
8771	0,00
8772	0,00
8773	0,00
8774	0,00
8775	0,00
8776	0,00
8777	350,00
8778	0,00
8779	39,90
8780	50,00
8781	35,00
8782	955,07
8783	150,00
8784	17,78
8785	0,00
8786	5,60
8787	0,00
8788	750,00
8789	3,90
8790	50,00
8791	50,00
8792	135,00
8793	20,00
8794	45,00
8795	37,00
8796	35,90
8797	70,00
8798	95,00
8799	3,08
8800	23,23
8801	54,75
8802	0,00
8803	0,00
8804	0,00
8805	0,00
8806	0,00
8807	0,00
8808	0,00
8809	0,00
8810	0,00
8811	0,00
8812	0,00
8813	209,36
8814	276,00
8815	42,00
8816	0,00
8817	0,00
8818	0,00
8819	36,70
8820	6,88
8821	23,50
8822	7,99
8823	16,50
8824	58,90
8825	4,90
8826	31,50
8827	15,99
8828	19,99
8829	45,99
8830	18,52
8831	0,49
8832	270,00
8833	50,95
8834	5,95
8835	138,00
8836	9,90
8837	0,00
8838	0,00
8839	1290,00
8840	350,00
8841	0,00
8842	0,00
8843	0,00
8844	150,00
8845	180,00
8846	39,64
8847	0,29
8848	1,18
8849	114,39
8850	4,14
8851	6,89
8852	0,37
8853	0,66
8854	0,73
8855	0,76
8856	129,28
8857	56,32
8858	32,13
8859	27,76
8860	6,34
8861	82,07
8862	392,70
8863	0,00
8864	399,90
8865	29,90
8866	2,05
8867	3,50
8868	25,00
8869	0,00
8870	0,00
8871	535,00
8872	1490,00
8873	10,00
8874	3,85
8875	190,00
8876	90,00
8877	105,00
8878	38,00
8879	0,00
8880	0,00
8881	0,00
8882	0,00
8883	10,00
8884	3,45
8885	189,40
8886	328,50
8887	88,60
8888	11,15
8889	11,15
8890	11,15
8891	470,00
8892	0,00
8893	38,00
8894	1,69
8895	0,00
8896	2000,00
8897	215,00
8898	215,00
8899	215,00
8900	215,00
8901	0,00
8902	2100,00
8903	155,17
8904	8,50
8905	23,85
8906	35,85
8907	17,16
8908	1159,00
8909	235,00
8910	6,50
8911	3,13
8912	6,22
8913	0,00
8914	0,00
8915	0,00
8916	432,69
8917	149,90
8918	3,00
8919	10,00
8920	205,00
8921	165,90
8922	41,90
8923	41,90
8924	41,90
8925	41,90
8926	41,90
8927	41,90
8928	41,90
8929	43,00
8930	134,00
8931	0,00
8932	170,00
8933	1962,80
8934	179,10
8935	0,00
8936	0,00
8937	0,00
8938	0,00
8939	0,00
8940	0,00
8941	0,00
8942	0,00
8943	19,36
8944	6,20
8945	148,00
8946	0,00
8947	85,80
8948	85,80
8949	85,80
8950	85,80
8951	85,80
8952	0,00
8953	0,00
8954	0,00
8955	197,30
8956	2,50
8957	0,00
8958	0,00
8959	0,00
8960	7,00
8961	22,90
8962	47,90
8963	22,90
8964	47,90
8965	22,90
8966	5,20
8967	5,20
8968	363,01
8969	94,60
8970	229,90
8971	15,39
8972	0,00
8973	10,99
8974	10,99
8975	11,01
8976	15,39
8977	15,39
8978	15,40
8979	5,51
8980	3,14
8981	0,99
8982	1,82
8983	6,94
8984	0,00
8985	5,99
8986	8,80
8987	28,50
8988	0,00
8989	6,59
8990	75,54
8991	60,00
8992	0,00
8993	840,00
8994	530,00
8995	220,00
8996	55,00
8997	1,80
8998	85,00
8999	0,00
9000	9,61
9001	18,11
9002	90,50
9003	145,24
9004	59,13
9005	67,83
9006	226,09
9007	1538,47
9008	886,58
9009	18,10
9010	90,48
9011	69,43
9012	18,11
9013	85,38
9014	1967,03
9015	313,45
9016	117,64
9017	0,00
9018	15,42
9019	61,49
9020	11,01
9021	10,80
9022	75,00
9023	0,00
9024	0,00
9025	0,00
9026	0,00
9027	0,00
9028	52,28
9029	799,00
9030	420,00
9031	729,90
9032	1,58
9033	11,90
9034	7,50
9035	0,00
9036	0,00
9037	0,00
9038	5,99
9039	0,00
9040	9,99
9041	5,99
9042	23,50
9043	0,00
9044	0,00
9045	687,00
9046	1180,00
9047	19,99
9048	4029,27
9049	39900,00
9050	0,00
9051	0,00
9052	0,00
9053	0,00
9054	0,00
9055	5,90
9056	0,00
9057	10,00
9058	0,00
9059	0,00
9060	23,10
9061	0,00
9062	27,30
9063	27,30
9064	44,00
9065	44,00
9066	44,00
9067	0,00
9068	0,00
9069	54,62
9070	0,00
9071	0,00
9072	0,00
9073	0,00
9074	16,99
9075	0,00
9076	0,00
9077	12,80
9078	0,00
9079	0,00
9080	0,00
9081	0,00
9082	0,00
9083	34,10
9084	0,00
9085	0,00
9086	0,00
9087	0,00
9088	0,00
9089	0,00
9090	0,00
9091	0,00
9092	0,00
9093	0,00
9094	0,00
9095	2,70
9096	0,00
9097	2630,00
9098	480,00
9099	4,67
9100	2,96
9101	2,96
9102	2,96
9103	9,03
9104	133,49
9105	283,50
9106	8,39
9107	7,99
9108	58,90
9109	5,00
9110	403,07
9111	3,98
9113	0,00
9114	129,28
9115	67,20
9116	39,20
9117	442,10
9118	503,20
9119	30,80
9120	28,00
9121	56,00
9122	28,50
9123	30,80
9124	78,40
9125	42,80
9126	81,90
9127	286,00
9128	240,00
9129	132,80
9130	30,80
9131	235,20
9132	7,50
9133	41,60
9134	62,40
9135	104,00
9136	31,20
9137	78,62
9138	40,00
9139	0,00
9140	0,00
9141	0,00
9142	0,00
9143	139,90
9144	0,00
9145	0,00
9146	0,00
9147	420,00
9148	2900,00
9149	8,00
9150	54,62
9151	54,62
9152	54,50
9153	29,90
9154	29,90
9155	29,90
9156	27,30
9157	73,00
9158	0,00
9159	0,00
9160	0,00
9161	0,00
9162	0,00
9163	0,00
9164	0,00
9165	0,00
9166	0,00
9167	0,00
9168	0,00
9169	0,00
9170	0,00
9171	0,00
9172	0,00
9173	0,00
9174	0,00
9175	0,00
9176	0,00
9177	0,00
9178	0,00
9179	0,00
9180	0,00
9181	0,00
9182	0,00
9183	0,00
9184	760,00
9185	0,00
9186	255,93
9187	3,60
9188	3,60
9189	3,60
9190	3,80
9191	1065,02
9192	70,00
9193	23,99
9194	4,99
9195	10,99
9196	129,99
9197	12,99
9198	5,99
9199	6,60
9200	6,90
9201	6,60
9202	6,60
9203	37,50
9204	125,00
9205	12,50
9206	2,00
9207	190,00
9208	470,00
9209	0,00
9210	0,00
9211	0,00
9212	0,00
9213	15,00
9214	27,76
9215	27,76
9216	27,76
9217	756,00
9218	0,00
9219	270,35
9220	188,80
9221	3951,43
9222	48,00
9223	0,00
9224	341,38
9225	188,63
9226	0,00
9227	15,22
9228	0,00
9229	25,00
9230	45,00
9231	0,15
9232	1065,00
9233	9,00
9234	9,00
9235	0,00
9236	0,00
9237	0,00
9238	0,00
9239	0,00
9240	0,00
9241	0,00
9242	0,00
9243	0,00
9244	0,00
9245	0,00
9246	0,00
9247	536,15
9248	1120,00
9249	2730,00
9250	6,50
9251	54,50
9252	54,50
9253	0,00
9254	0,00
9255	54,50
9256	12,00
9257	0,00
9258	0,00
9259	0,00
9260	0,00
9261	0,00
9262	0,00
9263	0,00
9264	0,00
9265	0,00
9266	0,00
9267	0,00
9268	0,00
9269	0,00
9270	0,00
9271	0,00
9272	0,00
9273	0,00
9274	0,00
9275	66,00
9276	0,00
9277	30,00
9278	0,00
9279	0,00
9280	0,00
9281	0,00
9282	0,00
9283	0,00
9284	0,00
9285	0,00
9286	0,00
9287	0,00
9288	0,00
9289	0,00
9290	0,00
9291	0,00
9292	0,00
9293	0,00
9294	0,00
9295	0,00
9296	0,00
9297	0,00
9298	0,00
9299	101,00
9300	0,00
9301	0,00
9302	0,00
9303	0,00
9304	12,00
9305	0,00
9306	13,40
9307	0,00
9308	258,50
9309	116,50
9310	27,10
9311	47,10
9312	83,70
9313	0,00
9314	0,00
9315	0,00
9316	65,60
9317	49870,00
9318	0,00
9319	0,00
9320	3,38
9321	0,00
9322	0,00
9323	320,00
9324	1,20
9325	35,00
9326	36,00
9327	1200,00
9328	49,70
9329	29,56
9330	1306,40
9331	113,60
9332	0,00
9333	0,00
9334	0,00
9335	0,00
9336	0,00
9337	0,00
9338	0,00
9339	0,00
9340	0,00
9341	0,00
9342	0,00
9343	0,00
9344	0,00
9345	0,00
9346	0,00
9347	0,00
9348	49,90
9349	49,90
9350	49,90
9351	49,90
9352	49,90
9353	0,00
9354	0,00
9355	0,00
9356	36,99
9357	0,00
9358	0,00
9359	0,00
9360	0,00
9361	0,00
9362	0,00
9363	0,00
9364	0,00
9365	0,00
9366	0,00
9367	0,00
9368	0,00
9369	0,00
9370	0,00
9371	0,00
9372	0,00
9373	0,00
9374	0,00
9375	0,00
9376	0,00
9377	0,00
9378	0,00
9379	0,00
9380	0,00
9381	0,00
9382	0,00
9383	0,00
9384	0,00
9385	0,00
9386	0,00
9387	0,00
9388	0,00
9389	0,00
9390	0,00
9391	0,00
9392	0,00
9393	0,00
9394	0,00
9395	0,00
9396	0,00
9397	400,00
9398	28,10
9399	0,00
9400	0,00
9401	0,00
9402	0,00
9403	0,00
9404	0,00
9405	11,60
9406	54,50
9407	0,00
9408	0,00
9409	0,00
9410	0,00
9411	0,00
9412	0,00
9413	0,00
9414	0,00
9415	0,00
9416	0,00
9417	0,00
9418	0,00
9419	0,00
9420	0,00
9421	0,00
9422	0,00
9423	0,00
9424	0,00
9425	0,00
9426	0,00
9427	0,00
9428	24,90
9429	45,00
9430	0,00
9431	0,00
9432	0,00
9434	0,00
9435	0,00
9436	0,00
9437	0,00
9438	0,00
9439	0,00
9440	0,00
9441	0,00
9442	0,00
9443	0,00
9444	0,00
