DATA	Preço
4505	338,00
4513	6,49
4519	0,47
4520	0,85
4521	1,43
4529	16,50
4539	0,31
4544	0,00
4546	92,53
4551	66,40
4557	2,01
4558	73,02
4560	135,25
4563	0,00
4574	9,77
4585	59,90
4586	0,71
4588	7,20
4591	0,00
4613	28,71
4615	2,05
4616	2,13
4617	2,01
4618	0,16
4619	38,00
4624	36,00
4634	0,00
4639	23,21
4640	2,91
4641	23,90
4642	26,55
4643	45,00
4652	98,00
4660	37,32
4662	49,93
4663	15,58
4673	630,00
4691	0,00
4725	242,95
4728	26,00
4729	71,70
4730	13,52
4733	0,00
4740	0,00
4757	2,07
4759	1,43
4760	0,80
4761	3,29
4762	28,75
4764	6,81
4765	108,46
4766	0,00
4767	4,45
4768	45,00
4769	65,20
4770	63,88
4771	45,00
4772	45,00
4773	45,00
4774	46,48
4775	99,90
4776	0,00
4777	0,00
4778	56,06
4779	70,58
4780	44,20
4781	44,41
4782	70,58
4783	46,48
4784	3,11
4785	14,02
4786	11,64
4787	0,00
4788	0,00
4789	0,00
4790	3,11
4791	6,29
4792	6,55
4793	15,23
4794	16,47
4795	7,00
4796	6,49
4797	7,21
4799	10,89
4800	10,89
4801	7,21
4802	25,00
4803	22,28
4804	10,00
4805	1,10
4806	1,00
4807	0,48
4808	15,40
4809	15,40
4817	4,04
4818	7,25
4819	0,65
4820	165,00
4821	0,00
4822	75,90
4823	6,56
4824	62,00
4828	0,51
4829	2,60
4830	15,90
4831	0,70
4832	0,68
4833	0,00
4834	0,00
4836	11,38
4837	0,00
4838	60,00
4839	7,95
4841	7,50
4842	7,24
4843	6,14
4844	7,24
4845	29,90
4846	6,93
4847	6,93
4848	8,34
4849	7,24
4850	19,99
4856	48,58
4858	153,15
4859	67,90
4860	8,00
4861	75,00
4862	9,60
4864	80,00
4865	72,00
4866	5,18
4868	0,00
4869	0,00
4871	63,37
4872	0,24
4873	9,00
4874	16,00
4877	0,12
4879	4,18
4880	26,02
4881	7,50
4882	11,73
4883	3,39
4884	4,78
4885	40,00
4886	45,00
4887	35,00
4888	4,60
4889	4,78
4890	1,00
4892	17,00
4893	10,73
4894	35,00
4895	28,00
4896	160,00
4897	850,00
4898	14,99
4899	86,00
4900	23,38
4901	24,56
4902	675,62
4903	798,67
4904	1,00
4906	0,00
4907	0,00
4909	5,00
4910	25,00
4911	25,00
4912	25,00
