Material	Texto breve material	Quantidade	Montante em MI	Centro	Depósito	Tipo de movimento	Data de lançamento	Pedido	Qtd.  UM registro	Item	Data de entrada	Data do documento
999661	SUCATA TRANSFORM POT 45 A 75kVA EN COBRE	-1	-0,01	11	15	905	14/09/2022		-1	0	14/09/2022	14/09/2022
999662	SUCATA TRANSFORM POT 100A150kVA EN COBRE	-4	-0,04	11	15	905	14/09/2022		-4	0	14/09/2022	14/09/2022
999893	PAPEL CARTAO E PAPELAO USADOS	-870	-8,70	11	15	905	14/09/2022		-870	0	14/09/2022	14/09/2022
999994	SUCATA DE POLIMEROS DIVERSOS	-2.740	-30,20	11	15	905	14/09/2022		-2.740	0	14/09/2022	14/09/2022
999818	SUCATA CABO ALUMINIO ISOLADO C/ ALMA ACO	-14.930	-397,71	11	15	905	13/09/2022		-14.930	0	13/09/2022	13/09/2022
999881	SUCATA POSTE MAD AC 7 M	-49	-0,49	11	15	905	13/09/2022		-49	0	13/09/2022	13/09/2022
999881	SUCATA POSTE MAD AC 7 M	-48	-0,48	11	15	905	12/09/2022		-48	0	12/09/2022	12/09/2022
999913	SUCATA ISOLADOR FE E METAIS	-7.370	-41,99	11	15	905	12/09/2022		-7.370	0	12/09/2022	12/09/2022
999887	SUCATA POSTE CONCRETO	-25	-0,25	11	15	905	09/09/2022		-25	0	09/09/2022	09/09/2022
999958	SUCATA MEDIDOR ENERGIA ELÉTRICA FERRO	-9.470	-42,75	11	15	905	09/09/2022		-9.470	0	09/09/2022	09/09/2022
999992	SUCATA FRAGMENTOS DE MADEIRA	-5.960	-59,31	11	15	905	09/09/2022		-5.960	0	09/09/2022	09/09/2022
999735	SUCATA FIO/CABO COBRE 2 CAPAS DE ISOLADO	-3.585	-6,88	11	15	905	08/09/2022		-3.585	0	08/09/2022	08/09/2022
999738	SUCATA FIO/CABO COBRE 1 CAPA ISOLACAO	-1.390	-12,08	11	15	905	08/09/2022		-1.390	0	08/09/2022	08/09/2022
999887	SUCATA POSTE CONCRETO	-25	-0,25	11	15	905	08/09/2022		-25	0	08/09/2022	08/09/2022
999112	SUCATA CHAVE A GAS SF6 DE 1, 3 E 4 VIAS	-3.620	-23,91	11	15	905	06/09/2022		-3.620	0	06/09/2022	06/09/2022
999887	SUCATA POSTE CONCRETO	-28	-0,28	11	15	905	06/09/2022		-28	0	06/09/2022	06/09/2022
999992	SUCATA FRAGMENTOS DE MADEIRA	-6.070	-60,38	11	15	905	06/09/2022		-6.070	0	06/09/2022	06/09/2022
999887	SUCATA POSTE CONCRETO	-30	-0,30	11	15	905	05/09/2022		-30	0	05/09/2022	05/09/2022
999992	SUCATA FRAGMENTOS DE MADEIRA	-5.570	-55,35	11	15	905	05/09/2022		-5.570	0	05/09/2022	05/09/2022
999946	SUCATA VIDRO	-7.180	-32,44	11	15	905	02/09/2022		-7.180	0	02/09/2022	02/09/2022
999994	SUCATA DE POLIMEROS DIVERSOS	-2.560	-27,41	11	15	905	02/09/2022		-2.560	0	02/09/2022	02/09/2022
999887	SUCATA POSTE CONCRETO	-28	-0,28	11	15	905	01/09/2022		-28	0	01/09/2022	01/09/2022
999635	SUCATA TRANSFORM POT ATÉ 30kVA ENROL AL	-3	-0,03	11	15	905	01/09/2022		-3	0	31/08/2022	31/08/2022
999636	SUCATA TRANSFORM POT 45 A 75kVA ENROL AL	-1	-0,01	11	15	905	01/09/2022		-1	0	31/08/2022	31/08/2022
999637	SUCATA TRANSFORM POT 100A150kVA ENROL AL	-8	-0,08	11	15	905	01/09/2022		-8	0	31/08/2022	31/08/2022
999660	SUCATA TRANSFORM POT ATÉ 30kVA ENR COBRE	-1	-0,01	11	15	905	01/09/2022		-1	0	31/08/2022	31/08/2022
999661	SUCATA TRANSFORM POT 45 A 75kVA EN COBRE	-5	-0,05	11	15	905	01/09/2022		-5	0	31/08/2022	31/08/2022
999662	SUCATA TRANSFORM POT 100A150kVA EN COBRE	-5	-0,05	11	15	905	01/09/2022		-5	0	31/08/2022	31/08/2022
999818	SUCATA CABO ALUMINIO ISOLADO C/ ALMA ACO	-16.420	-489,78	11	15	905	01/09/2022		-16.420	0	31/08/2022	31/08/2022
999883	SUCATA Fe BATIDO MISTO E CHAPARIA SOLTA	-14.860	-144,97	11	15	905	01/09/2022		-14.860	0	31/08/2022	31/08/2022
999887	SUCATA POSTE CONCRETO	-25	-0,25	11	15	905	31/08/2022		-25	0	31/08/2022	31/08/2022
999992	SUCATA FRAGMENTOS DE MADEIRA	-6.120	-60,81	11	15	905	01/09/2022		-6.120	0	31/08/2022	30/08/2022
999815	SUCATA PECAS ALUMINIO	-295	-12,35	11	15	905	30/08/2022		-295	0	30/08/2022	30/08/2022
999816	SUCATA CABO ALUMINIO NU C/ ALMA DE ACO	-4.502	-202,92	11	15	905	30/08/2022		-4.502	0	30/08/2022	30/08/2022
999817	SUCATA CABO ALUMINIO NU SEM ALMA DE ACO	-2.263	-48,55	11	15	905	30/08/2022		-2.263	0	30/08/2022	30/08/2022
999818	SUCATA CABO ALUMINIO ISOLADO C/ ALMA ACO	-7.450	-225,18	11	15	905	30/08/2022		-7.450	0	30/08/2022	30/08/2022
999883	SUCATA Fe BATIDO MISTO E CHAPARIA SOLTA	-16.481	-160,79	11	15	905	30/08/2022		-16.481	0	30/08/2022	30/08/2022
999887	SUCATA POSTE CONCRETO	-26	-0,26	11	15	905	30/08/2022		-26	0	30/08/2022	30/08/2022
999992	SUCATA FRAGMENTOS DE MADEIRA	-6.330	-62,90	11	15	905	30/08/2022		-6.330	0	30/08/2022	30/08/2022
999958	SUCATA MEDIDOR ENERGIA ELÉTRICA FERRO	-7.085	-32,15	11	15	905	29/08/2022		-7.085	0	29/08/2022	29/08/2022
999992	SUCATA FRAGMENTOS DE MADEIRA	-5.860	-58,23	11	15	905	29/08/2022		-5.860	0	29/08/2022	29/08/2022
999913	SUCATA ISOLADOR FE E METAIS	-3.700	-20,25	11	15	905	26/08/2022		-3.700	0	26/08/2022	26/08/2022
999913	SUCATA ISOLADOR FE E METAIS	-4.120	-22,47	11	15	905	26/08/2022		-4.120	0	26/08/2022	26/08/2022
999916	SUCATA CHAVES SECCIO/FACA/FUSÍVEL	-2.010	-2,67	11	15	905	26/08/2022		-2.010	0	26/08/2022	26/08/2022
999916	SUCATA CHAVES SECCIO/FACA/FUSÍVEL	-2.010	-2,67	11	15	905	26/08/2022		-2.010	0	26/08/2022	26/08/2022
999992	SUCATA FRAGMENTOS DE MADEIRA	-6.640	-65,98	11	15	905	26/08/2022		-6.640	0	26/08/2022	26/08/2022
999735	SUCATA FIO/CABO COBRE 2 CAPAS DE ISOLADO	-5.350	-13,14	11	15	905	25/08/2022		-5.350	0	25/08/2022	25/08/2022
999737	SUCATA FIO/CABO COBRE NU	-210	-2,15	11	15	905	25/08/2022		-210	0	25/08/2022	25/08/2022
999738	SUCATA FIO/CABO COBRE 1 CAPA ISOLACAO	-1.750	-15,14	11	15	905	25/08/2022		-1.750	0	25/08/2022	25/08/2022
999887	SUCATA POSTE CONCRETO	-30	-0,30	11	15	905	25/08/2022		-30	0	25/08/2022	25/08/2022
999909	SUCATA CARRETEL MADEIRA	-18.970	-188,92	11	15	905	25/08/2022		-18.970	0	25/08/2022	25/08/2022
999881	SUCATA POSTE MAD AC 7 M	-53	-0,53	11	15	905	24/08/2022		-53	0	24/08/2022	24/08/2022
999909	SUCATA CARRETEL MADEIRA	-7.310	-72,80	11	15	905	24/08/2022		-7.310	0	24/08/2022	24/08/2022
