COD. CLIENTE;FORNECEDOR;DATA;CÓDIGO SAP;NUM. COLETA;NUM. SÉRIE;STATUS
27068;3C;;999958;4680995;4680995;NÃO EXPORTADO
27069;3C;;999958;52153134;5215313;NÃO EXPORTADO
27070;3C;;999958;52123634;5212363;NÃO EXPORTADO
27071;3C;;999958;6050947;6050947;NÃO EXPORTADO
27072;3C;;999958;5435220;5435220;NÃO EXPORTADO
27073;3C;;999958;49328334;4932833;NÃO EXPORTADO
27074;3C;;999958;45995231;4599523;NÃO EXPORTADO
27075;3C;;999958;621378;621378;NÃO EXPORTADO
27076;3C;;999958;2126583;2126583;NÃO EXPORTADO
27065;3C;;999958;2191628;2191628;NÃO EXPORTADO
27064;3C;;999958;6142114;6142114;NÃO EXPORTADO
27063;3C;;999958;58915346;5891534;NÃO EXPORTADO
27052;3C;;999959;7789766;7789766;NÃO EXPORTADO
27053;3C;;999959;8334886;8334886;NÃO EXPORTADO
27054;3C;;999959;7737162;7737162;NÃO EXPORTADO
27055;3C;;999959;85326194;8532619;NÃO EXPORTADO
27056;3C;;999959;84338181;8433818;NÃO EXPORTADO
27057;3C;;999959;9786179;9786179;NÃO EXPORTADO
27058;3C;;999959;5402801;5402801;NÃO EXPORTADO
27059;3C;;999959;17472431;1747243;NÃO EXPORTADO
27060;3C;;999958;2227541;2227541;NÃO EXPORTADO
27061;3C;;999958;2647742;2647742;NÃO EXPORTADO
27062;3C;;999958;57911703;5791170;NÃO EXPORTADO
27077;3C;;999958;2905390;2905390;NÃO EXPORTADO
26944;3C;;999959;9795661;9795661;NÃO EXPORTADO
26959;3C;;999959;7515401;7515401;NÃO EXPORTADO
26960;3C;;999959;7822724;7822724;NÃO EXPORTADO
26961;3C;;999959;62408178;6240817;NÃO EXPORTADO
26962;3C;;999959;7888681;7888681;NÃO EXPORTADO
26963;3C;;999959;6919330;6919330;NÃO EXPORTADO
26964;3C;;999959;8663450;8663450;NÃO EXPORTADO
26965;3C;;999959;7229288;7229288;NÃO EXPORTADO
26969;3C;;999959;7128571;7128571;NÃO EXPORTADO
26975;3C;;999959;7110521;7110521;NÃO EXPORTADO
26980;3C;;999959;7098456;7098456;NÃO EXPORTADO
26982;3C;;999959;73559997;7355999;NÃO EXPORTADO
26958;3C;;999959;9531366;9531366;NÃO EXPORTADO
26957;3C;;999959;7704770;7704770;NÃO EXPORTADO
26956;3C;;999959;6901503;6901503;NÃO EXPORTADO
26945;3C;;999959;9756942;9756942;NÃO EXPORTADO
26946;3C;;999959;82670986;8267098;NÃO EXPORTADO
26947;3C;;999959;85545201;8554520;NÃO EXPORTADO
26948;3C;;999959;9843699;9843699;NÃO EXPORTADO
26949;3C;;999959;82674515;8267451;NÃO EXPORTADO
26950;3C;;999959;84324295;8432429;NÃO EXPORTADO
26951;3C;;999959;84329157;8432915;NÃO EXPORTADO
26952;3C;;999959;9624444;9624444;NÃO EXPORTADO
26953;3C;;999959;76939863;7693986;NÃO EXPORTADO
26954;3C;;999959;7582722;7582722;NÃO EXPORTADO
26955;3C;;999959;9622386;9622386;NÃO EXPORTADO
26984;3C;;999959;76345301;7634530;NÃO EXPORTADO
26985;3C;;999959;67062881;6706288;NÃO EXPORTADO
27011;3C;;999959;9146324;9146324;NÃO EXPORTADO
27013;3C;;999959;89832086;8983208;NÃO EXPORTADO
27014;3C;;999959;66487455;6648745;NÃO EXPORTADO
27015;3C;;999959;7389629;7389629;NÃO EXPORTADO
27016;3C;;999959;7128684;7128684;NÃO EXPORTADO
27017;3C;;999959;7306371;7306371;NÃO EXPORTADO
27018;3C;;999959;7295755;7295755;NÃO EXPORTADO
27019;3C;;999959;7306374;7306374;NÃO EXPORTADO
27020;3C;;999959;7446462;7446462;NÃO EXPORTADO
27021;3C;;999959;7224553;7224553;NÃO EXPORTADO
27022;3C;;999959;7306380;7306380;NÃO EXPORTADO
27010;3C;;999959;83503943;8350394;NÃO EXPORTADO
27009;3C;;999959;83488332;8348833;NÃO EXPORTADO
27008;3C;;999959;8414834;8414834;NÃO EXPORTADO
26989;3C;;999959;67473806;6747380;NÃO EXPORTADO
26991;3C;;999959;70174440;7017444;NÃO EXPORTADO
26993;3C;;999959;67801927;6780192;NÃO EXPORTADO
26995;3C;;999959;9465358;9465358;NÃO EXPORTADO
26998;3C;;999959;72521341;7252134;NÃO EXPORTADO
27001;3C;;999958;59486414;5948641;NÃO EXPORTADO
27002;3C;;999958;4203028;4203028;NÃO EXPORTADO
27004;3C;;999959;8792154;8792154;NÃO EXPORTADO
27005;3C;;999959;7405632;7405632;NÃO EXPORTADO
27006;3C;;999959;9635090;9635090;NÃO EXPORTADO
27007;3C;;999959;9092949;9092949;NÃO EXPORTADO
27023;3C;;999959;7331296;7331296;NÃO EXPORTADO
27133;3C;;999959;69130981;6913098;NÃO EXPORTADO
27148;3C;;999958;5642914;5642914;NÃO EXPORTADO
27149;3C;;999958;5812624;5812624;NÃO EXPORTADO
27150;3C;;999958;5404336;5404336;NÃO EXPORTADO
27151;3C;;999958;3928716;3928716;NÃO EXPORTADO
27152;3C;;999959;7109214;7109214;NÃO EXPORTADO
27153;3C;;999959;7382242;7382242;NÃO EXPORTADO
27154;3C;;999959;7382238;7382238;NÃO EXPORTADO
27155;3C;;999959;7306372;7306372;NÃO EXPORTADO
27156;3C;;999959;7086540;7086540;NÃO EXPORTADO
27157;3C;;999959;63356988;6335698;NÃO EXPORTADO
27158;3C;;999959;85225622;8522562;NÃO EXPORTADO
27147;3C;;999958;6118717;6118717;NÃO EXPORTADO
27146;3C;;999958;2328799;2328799;NÃO EXPORTADO
27145;3C;;999958;6159909;6159909;NÃO EXPORTADO
27134;3C;;999959;8302541;8302541;NÃO EXPORTADO
27135;3C;;999959;90398114;9039811;NÃO EXPORTADO
27136;3C;;999959;82670994;8267099;NÃO EXPORTADO
27137;3C;;999959;69332053;6933205;NÃO EXPORTADO
27138;3C;;999959;84340851;8434085;NÃO EXPORTADO
27139;3C;;999959;7737907;7737907;NÃO EXPORTADO
27140;3C;;999959;67701175;6770117;NÃO EXPORTADO
27141;3C;;999959;94055831;9405583;NÃO EXPORTADO
27142;3C;;999959;63992183;6399218;NÃO EXPORTADO
27143;3C;;999958;19346239;1934623;NÃO EXPORTADO
27144;3C;;999958;3000078;3000078;NÃO EXPORTADO
27159;3C;;999959;9828236;9828236;NÃO EXPORTADO
27160;3C;;999959;9833319;9833319;NÃO EXPORTADO
27175;3C;;999958;2730487;2730487;NÃO EXPORTADO
27176;3C;;999958;50595181;5059518;NÃO EXPORTADO
27177;3C;;999958;56225288;5622528;NÃO EXPORTADO
27178;3C;;999958;57047626;5704762;NÃO EXPORTADO
27179;3C;;999958;51419378;5141937;NÃO EXPORTADO
27180;3C;;999958;2935184;2935184;NÃO EXPORTADO
27181;3C;;999958;6141605;6141605;NÃO EXPORTADO
27182;3C;;999958;2386544;2386544;NÃO EXPORTADO
27183;3C;;999958;51615461;5161546;NÃO EXPORTADO
27184;3C;;999959;7582935;7582935;NÃO EXPORTADO
27185;3C;;999959;69527440;6952744;NÃO EXPORTADO
27174;3C;;999958;2436579;2436579;NÃO EXPORTADO
27173;3C;;999958;2146537;2146537;NÃO EXPORTADO
27172;3C;;999958;2360595;2360595;NÃO EXPORTADO
27161;3C;;999959;63984598;6398459;NÃO EXPORTADO
27162;3C;;999959;71692045;7169204;NÃO EXPORTADO
27163;3C;;999959;8665114;8665114;NÃO EXPORTADO
27164;3C;;999959;7582187;7582187;NÃO EXPORTADO
27165;3C;;999959;81765436;8176543;NÃO EXPORTADO
